date,2020-07-05,2020-07-05,2020-07-05
AHPI,,,
AHT,Real Estate,NYQ,73156392.0
AHT PRD,,,
AHT PRF,,,
AHT PRG,,,
AHT PRH,,,
AHT PRI,,,
AI,,,
AI PRB,,,
AI PRC,,,
AIA,,,
AIC,,,
AIEQ,,,
AIF,Financial Services,NYQ,181523200.0
AIG,,,
AIG PRA,,,
AIG WS,,,
AIH,Healthcare,NMS,146399968.0
AIHS,Financial Services,NMS,22206646.0
AIIQ,,,
AIKI,Healthcare,NCM,28477424.0
AIM,Healthcare,ASE,79276808.0
AIMC,Industrials,NMS,1980787072.0
AIMT,Healthcare,NMS,1097518464.0
AIN,Consumer Cyclical,NYQ,1839161984.0
AINC,Financial Services,ASE,25654124.0
AINV,,,
AIO,,NYQ,685775552.0
AIQ,,,
AIR,Industrials,NYQ,730094528.0
AIRG,Technology,NCM,107728776.0
AIRI,,,
AIRR,,,
AIRT,Industrials,NGM,34466928.0
AIRT P,,,
AIRT W,,,
AIT,Industrials,NYQ,2375835648.0
AIV,,,
AIW,,,
AIZ,Financial Services,NYQ,5995056128.0
AIZP,Financial Services,NYQ,6019290112.0
AJG,Financial Services,NYQ,18457706496.0
AJRD,Industrials,NYQ,3046878464.0
AJX,Real Estate,NYQ,199266032.0
AJXA,,,
AKAM,Technology,NMS,18356434944.0
AKBA,Healthcare,NGM,1869341312.0
AKCA,Healthcare,NMS,1434322176.0
AKER,,,
AKO A,,,
AKO B,,,
AKR,Real Estate,NYQ,1115723776.0
AKRO,Healthcare,NMS,946802304.0
AKTS,Technology,NCM,302692704.0
AKTX,Healthcare,NMS,74946144.0
AKUS,,,
AL,Industrials,NYQ,3205868800.0
AL PRA,,,
ALAC,Financial Services,NMS,156887072.0
ALAC R,,,
ALAC U,,,
ALAC W,,,
ALB,Basic Materials,NYQ,8352420352.0
ALBO,Healthcare,NMS,388718048.0
ALC,Healthcare,NYQ,28678291456.0
ALCO,Consumer Defensive,NMS,239555520.0
ALDX,Healthcare,NCM,124228888.0
ALE,,,
ALEC,Healthcare,NMS,1881780480.0
ALEX,Real Estate,NYQ,888646848.0
ALFA,,,
ALG,Industrials,NYQ,1207605504.0
ALGN,,,
ALGT,Industrials,NMS,1773874816.0
ALIM,,,
ALIN PRA,,,
ALIN PRB,,,
ALIN PRE,,,
ALJJ,Industrials,NMS,26568864.0
ALK,Industrials,NYQ,4473126912.0
ALKS,Healthcare,NMS,3109697280.0
ALL,Financial Services,NYQ,29555173376.0
ALL PRB,,,
ALL PRG,,,
ALL PRH,,,
ALL PRI,,,
ALLE,Industrials,NYQ,9442425856.0
ALLK,Healthcare,NMS,3262472192.0
ALLO,Healthcare,NMS,6239952896.0
ALLT,,,
ALLY,Financial Services,NYQ,7261615616.0
ALLY PRA,,,
ALNA,Healthcare,NMS,49587844.0
ALNY,Healthcare,NMS,17207922688.0
ALO,,,
ALOT,Technology,NMS,56446728.0
ALP PRQ,,,
ALPN,Healthcare,NGM,189224832.0
ALRM,Technology,NMS,3302744832.0
ALRN,Healthcare,NCM,44285784.0
ALRS,Financial Services,NCM,333390080.0
ALSK,Communication Services,NMS,144614160.0
ALSN,Consumer Cyclical,NYQ,4089085184.0
ALT,,,
ALTG,Industrials,NYQ,221925728.0
ALTG WS,,,
ALTL,,,
ALTM,Energy,NGM,182773120.0
ALTR,Technology,NMS,2870951936.0
ALTS,,,
ALTY,,,
ALUS,Financial Services,NYQ,357218720.0
ALUS WS,,,
ALV,Consumer Cyclical,NYQ,5698222592.0
ALX,Real Estate,NYQ,1244544384.0
